,0,1,2
112,5014,5124,9.67
113,5015,5124,17.85
114,5016,5124,119.00
115,5017,5124,35.67
116,5018,5124,59.11
117,5019,5124,10.83
118,5020,5124,11.67
119,5306,5124,19.73
120,5305,5124,18.47
121,5304,5124,13.38
122,5303,5124,19.61
123,5302,5124,10.27
124,5301,5124,14.39
125,5012,5124,5.08
126,5011,5124,17.16
127,5010,5124,42.07
128,5009,5124,1.10
129,5008,5124,4.03
130,5007,5124,0.12
131,5006,5124,0.09
132,5005,5124,0.38
133,5004,5124,0.30
134,5003,5124,0.00
135,5002,5124,0.36
136,5001,5124,0.04
137,5119,5124,20.04
138,5118,5124,6.68
139,5117,5124,12.34
140,5116,5124,5.41
141,5115,5124,5.68
142,5114,5124,3.04
143,5113,5124,1.15
144,5112,5124,2.33
145,5111,5124,2.58
146,5110,5124,5.56
147,5109,5124,6.13
148,5108,5124,0.86
149,5107,5124,1.08
150,5106,5124,1.01
151,5105,5124,0.79
152,5104,5124,2.80
153,5103,5124,1.30
154,5102,5124,3.04
155,5101,5124,49.79
156,5126,5123,317.33
157,5125,5123,129.68
158,5124,5123,39.88
159,5123,5123,0.00
160,5122,5123,237.78
161,5121,5123,172.40
162,5120,5123,66.11
163,5013,5123,32.01
164,5014,5123,35.22
165,5015,5123,56.91
166,5016,5123,452.13
167,5017,5123,146.50
168,5018,5123,246.62
169,5019,5123,34.87
170,5020,5123,29.98
171,5306,5123,67.11
172,5305,5123,48.88
173,5304,5123,45.64
174,5303,5123,63.14
175,5302,5123,32.49
176,5301,5123,30.91
177,5012,5123,13.54
178,5011,5123,32.46
179,5010,5123,94.55
180,5009,5123,2.50
181,5008,5123,15.50
182,5007,5123,0.46
183,5006,5123,1.00
184,5005,5123,1.90
185,5004,5123,1.99
186,5003,5123,0.00
187,5002,5123,2.00
188,5001,5123,1.18
189,5119,5123,54.80
190,5118,5123,12.96
191,5117,5123,15.52
192,5116,5123,8.44
193,5115,5123,8.03
194,5114,5123,4.98
195,5113,5123,1.31
196,5112,5123,5.36
197,5111,5123,7.01
198,5110,5123,11.33
199,5109,5123,10.37
200,5108,5123,1.45
201,5107,5123,1.84
202,5106,5123,1.93
203,5105,5123,1.60
204,5104,5123,5.90
205,5103,5123,2.53
206,5102,5123,5.84
207,5101,5123,62.65
208,5126,5122,190.81
209,5125,5122,125.19
210,5124,5122,111.27
211,5123,5122,236.05
212,5122,5122,0.00
213,5121,5122,49.82
214,5120,5122,24.04
215,5013,5122,12.39
216,5014,5122,11.09
217,5015,5122,17.43
218,5016,5122,111.99
219,5017,5122,35.65
220,5018,5122,69.95
221,5019,5122,7.60
222,5020,5122,6.51
223,5306,5122,17.60
224,5305,5122,12.40
225,5304,5122,16.49
226,5303,5122,15.01
227,5302,5122,8.57
228,5301,5122,6.57
229,5012,5122,4.83
230,5011,5122,15.30
231,5010,5122,45.19
232,5009,5122,3.12
233,5008,5122,16.45
234,5007,5122,1.07
235,5006,5122,7.98
236,5005,5122,4.70
237,5004,5122,5.31
238,5003,5122,0.64
239,5002,5122,4.90
240,5001,5122,1.96
241,5119,5122,32.12
242,5118,5122,6.63
243,5117,5122,5.61
244,5116,5122,2.93
245,5115,5122,3.20
246,5114,5122,2.05
247,5113,5122,0.50
248,5112,5122,2.78
249,5111,5122,3.76
250,5110,5122,5.44
251,5109,5122,2.40
252,5108,5122,0.39
253,5107,5122,0.49
254,5106,5122,0.51
255,5105,5122,0.48
256,5104,5122,2.25
257,5103,5122,0.79
258,5102,5122,2.26
259,5101,5122,22.66
260,5126,5121,165.92
261,5125,5121,137.50
262,5124,5121,157.58
263,5123,5121,401.33
264,5122,5121,78.28
265,5121,5121,0.00
266,5120,5121,122.96
267,5013,5121,57.39
268,5014,5121,19.72
269,5015,5121,42.96
270,5016,5121,280.33
271,5017,5121,109.25
272,5018,5121,231.96
273,5019,5121,23.07
274,5020,5121,22.18
275,5306,5121,62.70
276,5305,5121,46.81
277,5304,5121,72.66
278,5303,5121,45.84
279,5302,5121,27.51
280,5301,5121,28.08
281,5012,5121,27.46
282,5011,5121,23.02
283,5010,5121,90.77
284,5009,5121,4.20
285,5008,5121,20.55
286,5007,5121,1.96
287,5006,5121,8.82
288,5005,5121,3.18
289,5004,5121,7.21
290,5003,5121,1.65
291,5002,5121,3.83
292,5001,5121,2.77
293,5119,5121,101.35
294,5118,5121,20.65
295,5117,5121,14.97
296,5116,5121,11.64
297,5115,5121,8.84
298,5114,5121,6.19
299,5113,5121,1.22
300,5112,5121,9.85
301,5111,5121,14.27
302,5110,5121,16.85
303,5109,5121,6.91
304,5108,5121,1.88
305,5107,5121,2.37
306,5106,5121,2.08
307,5105,5121,1.75
308,5104,5121,8.81
309,5103,5121,2.94
310,5102,5121,6.52
311,5101,5121,60.43
