passenger_rates:	2704
{	5126	5121	165.92	}	
{	5125	5121	137.50	}	
{	5124	5121	157.58	}	
{	5123	5121	401.33	}	
{	5122	5121	78.28	}	
{	5121	5121	0.00	}	
{	5120	5121	122.96	}	
{	5013	5121	57.39	}	
{	5014	5121	19.72	}	
{	5015	5121	42.96	}	
{	5016	5121	280.33	}	
{	5017	5121	109.25	}	
{	5018	5121	231.96	}	
{	5019	5121	23.07	}	
{	5020	5121	22.18	}	
{	5306	5121	62.70	}	
{	5305	5121	46.81	}	
{	5304	5121	72.66	}	
{	5303	5121	45.84	}	
{	5302	5121	27.51	}	
{	5301	5121	28.08	}	
{	5012	5121	27.46	}	
{	5011	5121	23.02	}	
{	5010	5121	90.77	}	
{	5009	5121	4.20	}	
{	5008	5121	20.55	}	
{	5007	5121	1.96	}	
{	5006	5121	8.82	}	
{	5005	5121	3.18	}	
{	5004	5121	7.21	}	
{	5003	5121	1.65	}	
{	5002	5121	3.83	}	
{	5001	5121	2.77	}	
{	5119	5121	101.35	}	
{	5118	5121	20.65	}	
{	5117	5121	14.97	}	
{	5116	5121	11.64	}	
{	5115	5121	8.84	}	
{	5114	5121	6.19	}	
{	5113	5121	1.22	}	
{	5112	5121	9.85	}	
{	5111	5121	14.27	}	
{	5110	5121	16.85	}	
{	5109	5121	6.91	}	
{	5108	5121	1.88	}	
{	5107	5121	2.37	}	
{	5106	5121	2.08	}	
{	5105	5121	1.75	}	
{	5104	5121	8.81	}	
{	5103	5121	2.94	}	
{	5102	5121	6.52	}	
{	5101	5121	60.43	}	
{	5126	5120	53.17	}	
{	5125	5120	28.52	}	
{	5124	5120	25.65	}	
{	5123	5120	63.26	}	
{	5122	5120	18.31	}	
{	5121	5120	54.76	}	
{	5120	5120	0.00	}	
{	5013	5120	6.10	}	
{	5014	5120	6.60	}	
{	5015	5120	4.78	}	
{	5016	5120	28.07	}	
{	5017	5120	7.94	}	
{	5018	5120	33.69	}	
{	5019	5120	2.58	}	
{	5020	5120	2.79	}	
{	5306	5120	4.60	}	
{	5305	5120	4.34	}	
{	5304	5120	4.24	}	
{	5303	5120	4.45	}	
{	5302	5120	4.69	}	
{	5301	5120	2.88	}	
{	5012	5120	2.82	}	
{	5011	5120	10.93	}	
{	5010	5120	23.96	}	
{	5009	5120	1.16	}	
{	5008	5120	3.12	}	
{	5007	5120	0.38	}	
{	5006	5120	2.59	}	
{	5005	5120	0.65	}	
{	5004	5120	1.64	}	
{	5003	5120	0.59	}	
{	5002	5120	1.09	}	
{	5001	5120	0.62	}	
{	5119	5120	22.79	}	
{	5118	5120	3.90	}	
{	5117	5120	2.38	}	
{	5116	5120	1.86	}	
{	5115	5120	1.67	}	
{	5114	5120	0.43	}	
{	5113	5120	0.12	}	
{	5112	5120	1.17	}	
{	5111	5120	1.85	}	
{	5110	5120	1.27	}	
{	5109	5120	0.59	}	
{	5108	5120	0.18	}	
{	5107	5120	0.23	}	
{	5106	5120	0.27	}	
{	5105	5120	0.23	}	
{	5104	5120	1.03	}	
{	5103	5120	0.35	}	
{	5102	5120	0.79	}	
{	5101	5120	9.59	}	
{	5126	5013	23.83	}	
{	5125	5013	13.85	}	
{	5124	5013	15.15	}	
{	5123	5013	29.61	}	
{	5122	5013	10.64	}	
{	5121	5013	18.33	}	
{	5120	5013	5.64	}	
{	5013	5013	0.00	}	
{	5014	5013	5.75	}	
{	5015	5013	6.08	}	
{	5016	5013	34.16	}	
{	5017	5013	8.89	}	
{	5018	5013	8.82	}	
{	5019	5013	2.43	}	
{	5020	5013	3.87	}	
{	5306	5013	3.32	}	
{	5305	5013	2.71	}	
{	5304	5013	3.10	}	
{	5303	5013	7.93	}	
{	5302	5013	3.73	}	
{	5301	5013	1.54	}	
{	5012	5013	0.81	}	
{	5011	5013	8.18	}	
{	5010	5013	14.53	}	
{	5009	5013	8.67	}	
{	5008	5013	6.23	}	
{	5007	5013	0.99	}	
{	5006	5013	5.39	}	
{	5005	5013	0.81	}	
{	5004	5013	3.94	}	
{	5003	5013	3.01	}	
{	5002	5013	8.86	}	
{	5001	5013	1.46	}	
{	5119	5013	0.37	}	
{	5118	5013	0.34	}	
{	5117	5013	0.81	}	
{	5116	5013	0.29	}	
{	5115	5013	0.79	}	
{	5114	5013	0.10	}	
{	5113	5013	0.03	}	
{	5112	5013	0.47	}	
{	5111	5013	0.36	}	
{	5110	5013	0.26	}	
{	5109	5013	0.13	}	
{	5108	5013	0.08	}	
{	5107	5013	0.10	}	
{	5106	5013	0.07	}	
{	5105	5013	0.03	}	
{	5104	5013	0.23	}	
{	5103	5013	0.06	}	
{	5102	5013	0.38	}	
{	5101	5013	3.27	}	
{	5126	5014	12.43	}	
{	5125	5014	9.85	}	
{	5124	5014	21.63	}	
{	5123	5014	86.14	}	
{	5122	5014	17.24	}	
{	5121	5014	47.33	}	
{	5120	5014	29.41	}	
{	5013	5014	47.66	}	
{	5014	5014	0.00	}	
{	5015	5014	64.84	}	
{	5016	5014	487.60	}	
{	5017	5014	282.92	}	
{	5018	5014	381.72	}	
{	5019	5014	28.13	}	
{	5020	5014	19.38	}	
{	5306	5014	0.00	}	
{	5305	5014	0.19	}	
{	5304	5014	0.55	}	
{	5303	5014	0.06	}	
{	5302	5014	0.15	}	
{	5301	5014	0.07	}	
{	5012	5014	32.51	}	
{	5011	5014	24.82	}	
{	5010	5014	30.39	}	
{	5009	5014	24.75	}	
{	5008	5014	30.00	}	
{	5007	5014	4.50	}	
{	5006	5014	24.47	}	
{	5005	5014	3.92	}	
{	5004	5014	13.75	}	
{	5003	5014	9.72	}	
{	5002	5014	20.89	}	
{	5001	5014	4.74	}	
{	5119	5014	0.29	}	
{	5118	5014	0.26	}	
{	5117	5014	0.42	}	
{	5116	5014	0.11	}	
{	5115	5014	0.14	}	
{	5114	5014	0.08	}	
{	5113	5014	0.02	}	
{	5112	5014	0.07	}	
{	5111	5014	0.04	}	
{	5110	5014	0.10	}	
{	5109	5014	0.03	}	
{	5108	5014	0.01	}	
{	5107	5014	0.02	}	
{	5106	5014	0.01	}	
{	5105	5014	0.01	}	
{	5104	5014	0.05	}	
{	5103	5014	0.04	}	
{	5102	5014	0.03	}	
{	5101	5014	1.69	}	
{	5126	5015	53.97	}	
{	5125	5015	30.36	}	
{	5124	5015	27.62	}	
{	5123	5015	62.51	}	
{	5122	5015	16.70	}	
{	5121	5015	29.55	}	
{	5120	5015	2.58	}	
{	5013	5015	3.32	}	
{	5014	5015	15.47	}	
{	5015	5015	0.00	}	
{	5016	5015	46.96	}	
{	5017	5015	8.99	}	
{	5018	5015	19.95	}	
{	5019	5015	10.76	}	
{	5020	5015	6.89	}	
{	5306	5015	0.59	}	
{	5305	5015	4.30	}	
{	5304	5015	21.12	}	
{	5303	5015	0.73	}	
{	5302	5015	5.78	}	
{	5301	5015	1.19	}	
{	5012	5015	0.92	}	
{	5011	5015	14.14	}	
{	5010	5015	15.01	}	
{	5009	5015	13.65	}	
{	5008	5015	9.96	}	
{	5007	5015	1.74	}	
{	5006	5015	13.11	}	
{	5005	5015	1.48	}	
{	5004	5015	8.38	}	
{	5003	5015	8.64	}	
{	5002	5015	12.89	}	
{	5001	5015	4.25	}	
{	5119	5015	0.47	}	
{	5118	5015	0.37	}	
{	5117	5015	0.68	}	
{	5116	5015	0.52	}	
{	5115	5015	0.84	}	
{	5114	5015	0.14	}	
{	5113	5015	0.00	}	
{	5112	5015	0.12	}	
{	5111	5015	0.14	}	
{	5110	5015	0.33	}	
{	5109	5015	0.18	}	
{	5108	5015	0.04	}	
{	5107	5015	0.06	}	
{	5106	5015	0.02	}	
{	5105	5015	0.08	}	
{	5104	5015	0.95	}	
{	5103	5015	0.11	}	
{	5102	5015	0.15	}	
{	5101	5015	2.73	}	
{	5126	5016	230.40	}	
{	5125	5016	101.99	}	
{	5124	5016	80.77	}	
{	5123	5016	192.20	}	
{	5122	5016	52.19	}	
{	5121	5016	113.76	}	
{	5120	5016	19.31	}	
{	5013	5016	46.89	}	
{	5014	5016	44.24	}	
{	5015	5016	69.02	}	
{	5016	5016	0.00	}	
{	5017	5016	208.68	}	
{	5018	5016	343.09	}	
{	5019	5016	87.93	}	
{	5020	5016	77.89	}	
{	5306	5016	0.68	}	
{	5305	5016	0.65	}	
{	5304	5016	6.74	}	
{	5303	5016	0.06	}	
{	5302	5016	0.65	}	
{	5301	5016	0.02	}	
{	5012	5016	19.13	}	
{	5011	5016	66.53	}	
{	5010	5016	77.02	}	
{	5009	5016	51.49	}	
{	5008	5016	46.29	}	
{	5007	5016	6.48	}	
{	5006	5016	50.49	}	
{	5005	5016	11.21	}	
{	5004	5016	39.32	}	
{	5003	5016	32.24	}	
{	5002	5016	53.87	}	
{	5001	5016	12.41	}	
{	5119	5016	1.55	}	
{	5118	5016	1.51	}	
{	5117	5016	3.60	}	
{	5116	5016	2.03	}	
{	5115	5016	1.39	}	
{	5114	5016	0.37	}	
{	5113	5016	0.01	}	
{	5112	5016	0.67	}	
{	5111	5016	0.58	}	
{	5110	5016	1.41	}	
{	5109	5016	0.55	}	
{	5108	5016	0.12	}	
{	5107	5016	0.15	}	
{	5106	5016	0.21	}	
{	5105	5016	0.18	}	
{	5104	5016	0.55	}	
{	5103	5016	0.43	}	
{	5102	5016	0.54	}	
{	5101	5016	14.53	}	
{	5126	5017	67.58	}	
{	5125	5017	32.22	}	
{	5124	5017	21.72	}	
{	5123	5017	53.22	}	
{	5122	5017	20.47	}	
{	5121	5017	38.14	}	
{	5120	5017	3.46	}	
{	5013	5017	3.67	}	
{	5014	5017	17.56	}	
{	5015	5017	14.85	}	
{	5016	5017	94.39	}	
{	5017	5017	0.00	}	
{	5018	5017	27.91	}	
{	5019	5017	29.98	}	
{	5020	5017	15.30	}	
{	5306	5017	0.82	}	
{	5305	5017	1.86	}	
{	5304	5017	2.11	}	
{	5303	5017	0.09	}	
{	5302	5017	0.05	}	
{	5301	5017	0.00	}	
{	5012	5017	1.45	}	
{	5011	5017	17.06	}	
{	5010	5017	24.28	}	
{	5009	5017	13.98	}	
{	5008	5017	8.63	}	
{	5007	5017	1.22	}	
{	5006	5017	13.60	}	
{	5005	5017	2.93	}	
{	5004	5017	10.38	}	
{	5003	5017	9.58	}	
{	5002	5017	13.90	}	
{	5001	5017	4.91	}	
{	5119	5017	0.50	}	
{	5118	5017	0.50	}	
{	5117	5017	1.21	}	
{	5116	5017	1.31	}	
{	5115	5017	0.42	}	
{	5114	5017	0.33	}	
{	5113	5017	0.03	}	
{	5112	5017	0.18	}	
{	5111	5017	0.49	}	
{	5110	5017	0.21	}	
{	5109	5017	0.16	}	
{	5108	5017	0.13	}	
{	5107	5017	0.17	}	
{	5106	5017	0.07	}	
{	5105	5017	0.03	}	
{	5104	5017	0.26	}	
{	5103	5017	0.35	}	
{	5102	5017	0.51	}	
{	5101	5017	4.87	}	
{	5126	5018	71.17	}	
{	5125	5018	43.19	}	
{	5124	5018	32.30	}	
{	5123	5018	89.70	}	
{	5122	5018	29.48	}	
{	5121	5018	63.17	}	
{	5120	5018	8.52	}	
{	5013	5018	6.64	}	
{	5014	5018	32.12	}	
{	5015	5018	22.37	}	
{	5016	5018	171.05	}	
{	5017	5018	57.52	}	
{	5018	5018	0.00	}	
{	5019	5018	24.53	}	
{	5020	5018	27.62	}	
{	5306	5018	1.85	}	
{	5305	5018	4.82	}	
{	5304	5018	4.61	}	
{	5303	5018	0.28	}	
{	5302	5018	0.00	}	
{	5301	5018	0.00	}	
