,Line_ID,Trip_ID,Vehicle_ID,Start_stop_ID,Start_stop_name,End_stop_id,End_stop_name,Passenger_load,Unnamed: 8
1013,250,25024,-1,25010,Station_Zuid,25009,Amstelreenseweg,125,
1014,250,25024,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,115,
1015,250,25024,-1,25008,Henk_Sneevlietweg,25007,Heemstedestraat,100,
1016,250,25024,-1,25007,Heemstedestraat,25006,Station_Lelylaan,83,
1017,250,25024,-1,25006,Station_Lelylaan,25005,Postjesweg,60,
1018,250,25024,-1,25005,Postjesweg,25004,Jan_van_Galenstraat,37,
1019,250,25024,-1,25004,Jan_van_Galenstraat,25003,Burg_De_Vlugtlaan,25,
1020,250,25024,-1,25003,Burg_De_Vlugtlaan,25002,Station_Sloterdijk,10,
1021,250,25024,-1,25002,Station_Sloterdijk,25001,Isolatorweg,2,
1022,250,25025,-1,25020,Gein,25019,Reigersbos,3,
1023,250,25025,-1,25019,Reigersbos,25018,Station_Holendrecht,4,
1024,250,25025,-1,25018,Station_Holendrecht,25017,Bullewijk,6,
1025,250,25025,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,6,
1026,250,25025,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,5,
1027,250,25025,-1,25015,Strandvliet,25014,Station_Duivendrecht,5,
1028,250,25025,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,5,
1029,250,25025,-1,25013,Van_der_Madeweg,25012,Overamstel,5,
1030,250,25025,-1,25012,Overamstel,25011,Station_RAI,11,
1031,250,25025,-1,25011,Station_RAI,25010,Station_Zuid,21,
1032,250,25025,-1,25010,Station_Zuid,25009,Amstelreenseweg,28,
1033,250,25025,-1,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,28,
1034,250,25025,-1,25008,Henk_Sneevlietweg,25007,Heemstedestraat,21,
1035,250,25025,-1,25007,Heemstedestraat,25006,Station_Lelylaan,18,
1036,250,25025,-1,25006,Station_Lelylaan,25005,Postjesweg,8,
1037,250,25025,-1,25005,Postjesweg,25004,Jan_van_Galenstraat,7,
1038,250,25025,-1,25004,Jan_van_Galenstraat,25003,Burg_De_Vlugtlaan,6,
1039,250,25025,-1,25003,Burg_De_Vlugtlaan,25002,Station_Sloterdijk,5,
1040,250,25025,-1,25002,Station_Sloterdijk,25001,Isolatorweg,2,
1041,250,25026,-1,25020,Gein,25019,Reigersbos,0,
1042,250,25026,-1,25019,Reigersbos,25018,Station_Holendrecht,0,
1043,250,25026,-1,25018,Station_Holendrecht,25017,Bullewijk,0,
1044,250,25026,-1,25017,Bullewijk,25016,Station_Bijlmer_ArenA,0,
1045,250,25026,-1,25016,Station_Bijlmer_ArenA,25015,Strandvliet,0,
1046,250,25026,-1,25015,Strandvliet,25014,Station_Duivendrecht,0,
1047,250,25026,-1,25014,Station_Duivendrecht,25013,Van_der_Madeweg,0,
1048,250,25026,-1,25013,Van_der_Madeweg,25012,Overamstel,0,
1049,250,25026,-1,25012,Overamstel,25011,Station_RAI,2,
1050,250,25026,-1,25011,Station_RAI,25010,Station_Zuid,5,
