,",Origin_stop_ID,Origin_stop_name,Destination_stop_ID,Destination_stop_name,Nr_pass_completed,Average_travel_time,Average_number_boardings,Unnamed: 7"
130,"130,5102,Sacharovlaan,5124,Waterlooplein,5,2563.49,1,"
131,"131,5101,Westwijk,5124,Waterlooplein,48,2580.25,1,"
132,"132,5126,Centraal_Station,5123,Weesperplein,291,352.264,1,"
133,"133,5125,Nieuwmarkt,5123,Weesperplein,128,285.625,1,"
134,"134,5124,Waterlooplein,5123,Weesperplein,43,199.867,1,"
135,"135,5122,Wibautstraat,5123,Weesperplein,234,157.406,1,"
136,"136,5121,Amstelstation,5123,Weesperplein,160,272.901,1,"
137,"137,5120,Spaklerweg,5123,Weesperplein,60,315.881,1,"
138,"138,5013,Van_der_Madeweg,5123,Weesperplein,32,538.718,1,"
139,"139,5014,Station_Duivendrecht,5123,Weesperplein,35,610.391,1,"
140,"140,5015,Strandvliet,5123,Weesperplein,56,833.161,1.33929,"
141,"141,5016,Station_Bijlmer_ArenA,5123,Weesperplein,457,832.823,1.42013,"
142,"142,5017,Bullewijk,5123,Weesperplein,147,956.282,1.38095,"
143,"143,5018,Station_Holendrecht,5123,Weesperplein,231,1058.02,1.39827,"
144,"144,5019,Reigersbos,5123,Weesperplein,41,1150.04,1.46341,"
145,"145,5020,Gein,5123,Weesperplein,31,1289.38,1.64516,"
146,"146,5306,Venserpolder,5123,Weesperplein,80,755.002,1,"
147,"147,5305,Station_Diemen-Zuid,5123,Weesperplein,42,782.553,1,"
148,"148,5304,Verrijn_Stuartweg,5123,Weesperplein,57,940.876,1,"
149,"149,5303,Station_Ganzenhoef,5123,Weesperplein,60,967.081,1,"
150,"150,5302,Kraaiennest_station,5123,Weesperplein,34,1087.77,1,"
151,"151,5301,Gaasperplas,5123,Weesperplein,28,1167.19,1,"
152,"152,5012,Overamstel,5123,Weesperplein,10,640.245,1,"
153,"153,5011,Station_RAI,5123,Weesperplein,32,867.376,1,"
154,"154,5010,Station_Zuid,5123,Weesperplein,82,931.977,1.20732,"
155,"155,5009,Amstelreenseweg,5123,Weesperplein,3,1218.24,2,"
156,"156,5008,Henk_Sneevlietweg,5123,Weesperplein,9,1429.85,2.33333,"
157,"157,5006,Station_Lelylaan,5123,Weesperplein,4,1626.86,2.25,"
158,"158,5005,Postjesweg,5123,Weesperplein,1,1982.82,2,"
159,"159,5002,Station_Sloterdijk,5123,Weesperplein,3,2112.75,2.66667,"
160,"160,5001,Isolatorweg,5123,Weesperplein,1,2285.48,2,"
161,"161,5119,De_Boelelaan/VU,5123,Weesperplein,55,1146.52,1,"
162,"162,5118,A.J._Ernststraat,5123,Weesperplein,14,1216.17,1,"
163,"163,5117,Van_Boshuizenstraat,5123,Weesperplein,13,1347.51,1,"
164,"164,5116,Uilenstede,5123,Weesperplein,9,1474.97,1,"
