,",Line_ID,Upstream_stop_ID,Upstream_stop_name,Downstream_stop_ID,Downstream_stop_name,Passenger_load,Unnamed: 6"
116,"116,253,25121,Amstelstation,25120,Spaklerweg,2412,"
117,"117,253,25125,Nieuwmarkt,25124,Waterlooplein,1313,"
118,"118,253,25122,Wibautstraat,25121,Amstelstation,2325,"
119,"119,253,25126,Centraal_Station,25125,Nieuwmarkt,902,"
120,"120,54,5122,Wibautstraat,5123,Weesperplein,3430,"
121,"121,54,5125,Nieuwmarkt,5126,Centraal_Station,2102,"
122,"122,54,5124,Waterlooplein,5125,Nieuwmarkt,3047,"
123,"123,54,5120,Spaklerweg,5121,Amstelstation,3789,"
124,"124,54,5121,Amstelstation,5122,Wibautstraat,3419,"
125,"125,54,5123,Weesperplein,5124,Waterlooplein,3059,"
126,"126,54,25018,Station_Holendrecht,25017,Bullewijk,1358,"
127,"127,54,25017,Bullewijk,25016,Station_Bijlmer_ArenA,1972,"
128,"128,54,25019,Reigersbos,25018,Station_Holendrecht,323,"
129,"129,54,25015,Strandvliet,25014,Station_Duivendrecht,3772,"
130,"130,54,25013,Van_der_Madeweg,5120,Spaklerweg,3685,"
131,"131,54,25014,Station_Duivendrecht,25013,Van_der_Madeweg,3760,"
132,"132,54,25020,Gein,25019,Reigersbos,159,"
133,"133,54,25016,Station_Bijlmer_ArenA,25015,Strandvliet,3314,"
134,"134,254,5013,Van_der_Madeweg,5014,Station_Duivendrecht,2582,"
135,"135,254,5014,Station_Duivendrecht,5015,Strandvliet,2418,"
136,"136,254,5015,Strandvliet,5016,Station_Bijlmer_ArenA,2265,"
137,"137,254,5016,Station_Bijlmer_ArenA,5017,Bullewijk,1784,"
138,"138,254,5019,Reigersbos,5020,Gein,497,"
139,"139,254,5018,Station_Holendrecht,5019,Reigersbos,1084,"
140,"140,254,5017,Bullewijk,5018,Station_Holendrecht,1531,"
141,"141,254,25124,Waterlooplein,25123,Weesperplein,1351,"
142,"142,254,25120,Spaklerweg,5013,Van_der_Madeweg,2347,"
143,"143,254,25123,Weesperplein,25122,Wibautstraat,1896,"
144,"144,254,25121,Amstelstation,25120,Spaklerweg,2149,"
145,"145,254,25125,Nieuwmarkt,25124,Waterlooplein,1136,"
146,"146,254,25122,Wibautstraat,25121,Amstelstation,1866,"
147,"147,254,25126,Centraal_Station,25125,Nieuwmarkt,795,"
